id,wave,gender,age,system_known,digital_confidence,sus_01,sus_02,sus_03,sus_04,sus_05,sus_06,sus_07,sus_08,sus_09,sus_10,sus_score,finished
P049,wave1,f,19,na,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,67.5,1.0
P050,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P051,wave2,m,19,na,2.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,40.0,1.0
P052,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P053,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P054,wave2,na,,na,1.0,,,,,,,,,,,,0.0
P055,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P056,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P057,wave2,na,,na,,,,,,,,,,,,,1.0
P058,wave2,na,,na,,,,,,,,,,,,,1.0
P059,wave2,f,20,no,2.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,67.5,1.0
P060,wave2,na,,na,2.0,,,,,,,,,,,,0.0
P061,wave2,f,19,no,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,87.5,1.0
P062,wave2,f,20,yes,2.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,72.5,1.0
P063,wave2,f,23,yes,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,67.5,1.0
P064,wave2,f,21,no,5.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,50.0,1.0
P065,wave2,f,28,yes,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,70.0,1.0
P066,wave2,f,21,yes,2.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,42.5,1.0
P067,wave2,m,20,yes,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,45.0,1.0
P068,wave2,f,20,yes,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,72.5,1.0
